,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Ar_ruim
2706,17.8,84.3,7.5,23.0,27.7,7.9,1.35,7.5,315,False
2707,45.6,98.3,28.0,43.8,32.1,14.9,2.18,3.2,680,True
2708,33.1,72.7,60.7,73.6,45.6,7.6,1.91,3.8,446,True
2709,33.9,65.9,11.6,23.8,25.1,11.2,1.13,7.3,427,False
2710,25.3,55.4,7.3,13.2,18.5,3.3,0.89,17.1,214,False
2711,23.6,60.7,2.9,6.9,15.8,3.0,1.09,12.4,506,False
2712,35.8,90.0,9.0,27.5,37.6,17.1,2.02,4.6,644,True
2713,37.1,74.0,3.1,24.9,42.6,10.6,2.08,4.4,406,True
2714,29.7,77.9,1.4,16.2,37.0,11.2,2.52,5.6,430,True
2715,17.6,72.9,14.1,14.9,26.3,6.4,0.87,14.8,201,False
2716,20.3,44.4,1.7,11.6,18.2,3.4,1.16,14.3,407,False
2717,29.3,44.4,1.4,5.7,14.4,2.3,0.98,10.1,284,False
2718,36.3,88.7,13.5,25.7,29.9,6.7,2.02,4.8,739,True
2719,33.0,73.5,14.2,21.9,33.5,3.3,1.55,6.0,582,False
2720,26.8,76.2,48.1,54.3,24.5,4.6,1.58,7.5,451,False
2721,21.5,59.8,8.6,12.6,20.3,5.5,1.08,10.1,470,False
2722,31.1,52.6,23.6,27.8,26.9,4.3,1.56,6.6,416,False
2723,30.1,72.0,14.4,19.7,22.7,10.7,1.46,6.4,372,False
2724,37.5,64.7,3.5,18.5,25.1,15.9,1.7,7.2,399,False
2725,30.3,49.2,50.9,61.1,28.2,6.6,1.39,8.4,425,False
2726,41.4,93.0,30.7,45.3,40.3,12.5,1.63,4.2,600,True
2727,25.7,57.2,7.5,14.7,14.8,2.6,1.08,14.0,319,False
2728,24.1,68.0,2.6,4.7,25.2,8.5,1.18,11.3,580,False
2729,26.1,71.3,13.6,17.4,18.2,8.2,0.92,10.4,319,False
2730,29.2,61.8,7.6,10.4,26.9,4.4,0.95,10.1,517,False
2731,29.2,55.5,43.3,46.8,24.0,8.7,1.53,5.8,640,False
2732,27.8,83.6,23.7,37.3,26.1,8.2,1.22,7.4,420,False
2733,26.5,69.9,31.7,46.0,21.4,17.2,1.64,9.6,739,False
2734,26.4,74.5,23.1,25.7,15.3,5.8,1.03,10.2,239,False
2735,33.3,98.7,20.9,36.7,35.1,16.0,1.73,5.1,578,True
2736,40.8,91.2,84.9,91.3,46.5,27.7,2.37,8.5,861,True
2737,27.8,75.4,8.9,20.8,33.6,4.1,1.31,5.5,626,False
2738,21.5,52.5,4.3,13.9,30.0,12.6,1.42,5.0,333,False
2739,26.3,64.6,0.6,5.1,14.2,3.4,0.98,10.3,189,False
2740,24.8,47.8,37.0,40.9,19.6,6.1,0.93,14.2,557,False
2741,25.3,49.4,19.5,32.0,24.9,7.2,1.73,5.8,426,False
2742,29.5,83.3,82.2,107.5,25.3,29.0,2.41,5.2,401,True
2743,18.9,43.7,3.3,12.7,25.7,5.8,1.78,5.4,432,False
2744,38.8,90.8,12.6,20.3,29.3,8.3,1.57,6.9,630,False
2745,40.1,95.2,11.5,30.1,34.8,18.6,1.88,5.4,803,True
2746,21.7,51.6,7.1,9.7,21.9,2.7,0.96,10.2,247,False
2747,22.9,61.9,41.1,54.6,27.5,3.4,1.79,5.6,464,False
2748,32.0,50.1,22.7,41.3,22.5,15.1,1.62,8.6,660,False
2749,21.7,65.2,26.3,33.3,13.9,2.5,0.96,11.0,278,False
2750,29.3,86.8,62.8,74.6,23.6,13.1,1.62,5.1,564,False
2751,23.0,41.1,24.8,28.1,18.7,3.4,0.94,10.3,379,False
2752,29.4,70.2,28.5,43.5,25.2,17.5,2.04,5.4,421,True
2753,24.7,73.9,8.1,16.0,26.4,5.1,0.98,11.0,352,False
2754,33.9,94.5,16.6,42.2,41.7,18.5,2.4,8.1,421,True
2755,26.5,67.6,18.4,29.0,40.0,12.3,2.17,4.1,598,True
2756,30.5,71.8,26.3,33.4,14.4,8.5,1.11,10.3,534,False
2757,34.0,82.8,173.2,190.0,26.4,14.1,2.3,7.7,613,True
2758,30.9,87.1,17.6,32.2,42.7,19.2,1.88,7.6,511,True
2759,23.3,58.4,1.6,7.3,21.4,4.0,1.08,12.3,438,False
2760,28.1,76.8,25.4,39.5,15.9,11.1,1.46,5.5,354,False
2761,47.1,109.1,7.8,21.9,36.6,27.1,2.72,4.0,563,True
2762,30.5,48.5,4.9,8.0,17.4,3.9,0.95,13.8,371,False
2763,24.9,83.7,12.1,20.4,30.8,7.6,1.3,7.6,516,False
2764,31.6,76.0,3.8,12.5,19.3,6.5,1.56,5.8,317,False
2765,30.6,100.8,40.0,65.9,39.0,30.7,3.19,4.1,738,True
2766,26.3,59.4,3.9,7.0,18.1,7.7,1.05,10.3,526,False
2767,31.5,76.0,3.3,10.1,32.2,9.5,1.44,9.3,389,False
2768,24.2,42.1,1.7,7.3,14.0,8.2,1.13,10.3,258,False
2769,36.5,86.5,31.4,43.0,44.1,10.9,2.64,3.6,455,True
2770,29.6,44.0,3.6,10.2,22.3,7.5,1.11,10.2,484,False
2771,33.4,63.9,6.2,10.6,35.0,15.7,1.84,5.2,471,True
2772,25.9,78.0,2.0,8.2,17.3,6.3,1.01,10.0,477,False
2773,26.4,61.8,41.4,52.3,23.2,2.3,1.74,5.3,499,False
2774,33.1,80.3,28.6,49.4,27.8,15.3,1.46,5.6,609,False
2775,21.4,49.2,5.4,12.6,20.1,4.1,1.08,14.5,351,False
2776,23.6,47.9,4.4,9.8,18.4,4.3,0.95,11.0,319,False
2777,30.6,49.5,26.5,30.3,16.7,5.6,1.02,11.4,217,False
2778,25.0,56.6,3.9,10.9,16.5,4.0,1.06,11.1,583,False
2779,18.0,44.7,18.5,22.8,21.2,9.6,0.99,16.0,470,False
2780,24.8,73.6,10.8,13.4,22.1,3.7,1.16,10.4,450,False
2781,47.5,101.4,137.0,157.7,50.1,16.5,2.37,5.1,638,True
2782,42.9,80.5,3.8,7.1,24.0,9.4,1.3,6.6,553,False
2783,24.2,56.4,2.5,12.0,11.7,3.2,0.98,11.6,340,False
2784,33.0,68.5,2.3,13.4,31.0,12.8,1.34,5.9,620,False
2785,25.5,69.6,8.1,13.5,14.5,7.5,1.12,10.3,313,False
2786,35.1,69.4,3.0,3.7,34.9,17.7,1.66,6.6,632,True
2787,32.6,59.4,7.2,21.8,31.3,8.6,1.44,16.2,363,False
2788,29.2,65.3,5.7,17.2,33.5,17.0,1.54,5.6,295,False
2789,26.1,76.9,9.2,15.5,24.2,9.9,1.19,6.5,299,False
2790,23.0,69.6,12.6,18.1,25.6,6.1,1.24,10.2,521,False
2791,20.4,45.9,4.5,3.2,24.2,6.3,0.9,11.1,214,False
2792,44.4,99.7,1.9,4.2,33.4,6.3,2.88,4.9,710,True
2793,40.0,71.3,0.5,4.4,14.5,16.1,1.41,5.1,318,False
2794,25.5,81.0,1.1,9.9,31.2,12.3,1.77,5.9,572,False
2795,28.2,63.8,2.4,7.5,20.9,6.8,0.83,10.6,317,False
2796,32.9,47.3,37.9,46.2,20.1,3.9,1.47,10.3,419,False
2797,29.8,73.1,4.7,12.9,23.1,12.2,1.44,5.9,682,False
2798,29.7,53.0,18.0,30.5,27.8,8.6,1.36,5.1,488,False
2799,36.2,80.6,13.9,22.0,28.7,13.3,1.56,7.5,483,False
2800,24.2,51.8,13.9,20.7,24.5,4.8,1.02,10.5,582,False
2801,33.7,91.2,17.2,29.0,25.1,12.0,1.43,6.3,505,False
2802,30.4,59.1,3.9,14.9,28.9,12.3,1.67,5.6,487,False
2803,24.8,57.8,8.8,10.5,15.3,4.6,1.05,12.4,430,False
2804,17.2,75.7,22.8,29.4,23.7,2.3,1.11,10.7,389,False
2805,28.2,71.4,9.2,25.5,34.0,6.2,2.35,3.2,594,True
2806,32.4,62.9,7.7,19.6,28.3,6.7,1.38,9.9,562,False
2807,25.4,54.5,4.0,9.8,14.8,6.6,1.02,11.0,480,False
2808,25.4,62.6,4.2,7.4,18.3,4.5,1.03,10.5,518,False
2809,20.5,71.3,4.6,9.7,19.5,7.4,1.07,11.4,298,False
2810,25.0,81.3,4.3,7.8,23.1,6.7,1.14,10.1,329,False
2811,29.8,76.4,3.5,8.2,22.1,4.9,0.93,11.5,284,False
2812,29.4,50.2,0.5,13.4,23.4,7.9,1.64,19.4,448,False
2813,32.2,58.7,5.0,15.0,33.9,7.3,1.64,6.8,516,False
2814,18.6,75.3,3.5,10.0,11.6,2.6,0.98,11.9,375,False
2815,39.9,83.6,11.8,39.4,46.9,27.6,1.9,6.8,438,True
2816,21.9,52.7,7.3,13.7,26.9,5.8,1.16,12.2,232,False
2817,34.0,75.9,10.0,18.0,30.4,5.2,1.57,5.2,356,False
2818,24.1,72.6,15.9,18.3,14.8,4.3,1.15,12.5,317,False
2819,24.6,55.1,2.8,9.7,19.9,7.0,0.93,10.6,448,False
2820,25.8,89.6,3.6,6.3,18.1,10.7,1.59,7.9,467,False
2821,24.8,67.2,20.9,23.5,22.0,5.8,0.92,12.5,255,False
2822,35.4,81.5,4.6,17.8,37.6,11.7,1.9,3.6,488,True
2823,21.8,71.2,17.0,21.4,20.4,8.4,0.92,11.5,311,False
2824,24.2,59.3,5.4,7.7,28.5,4.2,0.99,12.2,569,False
2825,38.3,58.4,86.6,92.8,31.4,10.0,1.66,5.6,527,False
2826,27.8,86.2,4.0,17.4,22.2,11.0,1.57,5.3,662,False
2827,33.8,72.1,3.7,18.3,29.7,6.8,1.16,5.9,625,False
2828,30.9,90.7,38.7,52.0,37.0,3.6,1.65,5.3,451,False
2829,24.9,74.3,12.8,15.1,19.2,7.2,0.96,10.3,496,False
2830,25.3,45.0,15.5,21.4,22.5,4.9,1.02,10.9,334,False
2831,30.9,57.8,15.3,28.1,26.5,10.6,1.35,5.1,380,False
2832,21.0,48.0,10.5,14.3,22.3,6.9,1.08,13.5,555,False
2833,29.3,50.0,31.7,36.7,33.8,8.5,1.46,5.3,642,False
2834,27.0,54.9,1.5,5.6,16.1,3.5,0.96,11.6,482,False
2835,37.8,77.8,7.1,22.8,32.2,6.8,1.59,5.3,399,False
2836,33.5,78.0,9.1,30.0,38.1,10.9,2.08,3.7,539,True
2837,36.9,83.1,8.9,34.8,52.1,1.5,2.89,3.3,648,True
2838,29.0,51.2,7.6,16.0,30.6,15.2,1.48,5.8,660,False
2839,25.9,62.2,6.7,11.0,24.7,2.6,1.07,12.4,386,False
2840,34.0,64.2,14.6,32.3,47.4,8.8,1.47,5.1,434,True
2841,24.3,61.4,16.6,22.3,13.5,3.7,1.04,10.2,226,False
2842,26.0,54.6,3.9,10.0,23.6,4.3,1.11,11.4,298,False
2843,29.4,53.6,5.6,15.9,28.9,8.5,1.61,8.9,384,False
2844,27.5,66.2,1.8,7.0,27.2,7.3,1.06,11.3,326,False
2845,23.1,64.3,3.9,18.3,29.5,13.8,1.5,8.3,444,False
2846,22.2,61.2,2.4,5.8,21.6,3.8,1.13,11.5,459,False
2847,34.9,69.9,10.7,17.5,23.0,12.0,1.28,6.9,720,False
2848,23.8,88.2,4.5,18.4,30.8,18.0,1.94,3.4,409,True
2849,26.8,79.8,15.1,33.0,28.6,14.6,1.56,4.2,367,True
2850,24.6,47.1,17.3,23.0,14.8,5.5,1.05,12.8,412,False
2851,40.7,108.7,41.1,79.6,38.8,21.0,2.07,2.7,803,True
2852,26.0,72.8,3.4,10.2,25.1,-0.2,1.05,12.5,437,False
2853,22.1,53.1,4.0,9.9,19.3,6.0,1.03,10.1,292,False
2854,27.4,41.0,12.9,18.9,23.7,4.2,1.01,12.2,264,False
2855,28.8,59.9,17.0,23.5,34.5,23.5,1.63,8.7,446,True
2856,36.6,69.9,46.0,59.1,46.1,6.6,1.84,3.6,649,True
2857,33.7,85.0,5.4,21.5,34.2,9.5,1.1,7.5,687,False
2858,20.5,47.4,1.4,6.6,17.7,6.6,1.08,13.2,427,False
2859,30.8,60.8,12.6,21.9,21.1,7.1,1.33,5.5,596,False
2860,36.8,60.0,10.1,30.6,27.6,8.9,1.73,3.7,762,True
2861,25.4,74.3,6.0,7.1,19.9,4.2,1.09,10.8,483,False
2862,32.9,84.6,4.3,1.9,29.8,3.9,1.87,4.0,723,True
2863,27.1,63.0,1.7,5.2,25.0,4.9,1.02,11.4,583,False
2864,28.1,69.0,0.5,2.8,19.5,6.9,1.06,11.8,491,False
2865,26.0,63.6,26.7,44.6,27.6,6.8,1.38,6.5,444,False
2866,26.3,60.5,10.0,18.9,24.6,3.7,0.97,10.1,459,False
2867,32.8,53.2,8.1,24.5,26.3,11.2,1.61,5.4,363,False
2868,33.3,98.3,36.1,67.4,50.4,2.1,2.52,2.9,494,True
2869,32.2,103.1,31.8,39.9,34.3,7.3,1.58,4.9,402,True
2870,37.0,76.1,131.3,145.5,57.3,24.3,2.94,7.6,702,True
2871,23.2,73.3,0.4,16.2,26.7,7.7,1.93,5.9,543,False
2872,30.5,76.0,30.7,48.8,25.3,3.3,1.56,7.3,721,False
2873,30.9,82.0,58.6,79.4,36.7,12.1,2.38,5.7,793,True
2874,29.9,68.7,0.5,7.0,11.9,7.5,0.87,13.9,547,False
2875,28.9,48.7,12.1,18.5,20.3,6.4,1.03,10.0,499,False
2876,41.5,96.7,30.7,47.9,34.0,15.8,2.02,3.4,584,True
2877,38.9,66.7,49.1,54.0,26.6,16.7,2.39,5.3,758,True
2878,24.7,85.3,10.8,24.6,39.9,9.7,2.08,15.5,638,True
2879,40.9,75.9,80.5,74.7,34.0,27.4,3.48,3.5,805,True
2880,25.0,67.9,37.7,41.8,28.7,3.5,1.59,5.1,477,False
2881,30.4,64.0,9.3,10.3,35.0,4.9,1.57,5.6,708,True
2882,25.7,51.5,27.7,30.9,15.1,6.7,1.02,12.0,360,False
2883,36.0,97.3,11.0,20.8,28.5,20.7,1.87,3.9,795,True
2884,27.3,43.5,36.1,38.6,21.8,7.2,1.06,19.7,479,False
2885,26.3,45.3,5.8,14.0,18.3,2.8,0.96,12.2,411,False
2886,17.4,45.0,1.8,5.9,20.4,5.7,0.86,10.5,311,False
2887,36.0,43.9,64.7,76.1,31.1,7.7,1.34,5.1,488,False
2888,30.7,80.4,5.4,12.4,24.5,12.9,1.22,5.3,639,False
2889,20.4,69.8,37.4,42.3,17.5,3.2,0.86,16.5,494,False
2890,32.2,91.3,0.3,26.5,19.7,27.9,1.88,3.3,661,True
2891,37.0,74.4,89.9,114.3,28.0,15.4,1.85,6.3,634,True
2892,21.8,77.8,4.0,9.1,15.5,8.4,0.98,11.5,273,False
2893,34.3,89.5,9.4,15.6,28.4,9.4,1.48,6.0,505,False
2894,32.2,76.4,0.0,10.3,24.0,11.0,1.49,5.9,347,False
2895,20.4,92.4,1.0,19.5,36.5,22.6,2.62,9.0,494,True
2896,27.7,76.8,5.8,13.6,24.4,4.5,0.92,11.3,544,False
2897,27.9,82.5,8.3,24.2,29.0,9.4,1.78,5.6,349,False
2898,26.1,54.2,15.8,21.1,15.3,5.2,0.98,10.0,427,False
2899,27.3,72.6,2.7,8.0,13.3,5.3,1.19,10.0,327,False
2900,23.7,67.3,10.3,17.7,24.6,2.6,1.01,15.8,488,False
2901,32.8,96.0,26.5,42.4,29.4,15.2,3.07,8.6,646,True
2902,23.3,57.5,90.3,114.3,27.7,26.6,2.15,5.1,494,True
2903,25.1,60.1,3.7,9.4,11.5,6.5,0.77,10.2,313,False
2904,23.1,57.1,1.0,6.9,22.8,5.6,0.94,12.0,535,False
2905,34.4,90.8,12.5,27.0,29.4,9.8,1.47,11.0,477,False
2906,27.4,67.2,86.2,86.5,18.8,9.9,1.29,5.1,354,False
2907,24.5,61.3,1.7,5.2,22.3,4.8,0.97,10.8,548,False
2908,25.3,88.7,50.1,65.4,39.0,16.6,1.98,5.1,696,True
2909,45.9,66.1,2.5,19.2,33.8,27.7,2.12,5.5,472,True
2910,36.7,71.8,47.7,56.7,28.8,18.0,1.57,7.6,702,False
2911,43.2,72.5,13.6,41.5,37.6,24.4,2.79,2.6,870,True
2912,29.8,80.8,10.4,14.9,17.1,-0.4,1.53,5.7,502,False
2913,28.8,74.7,30.4,35.4,22.5,5.4,1.91,6.1,482,False
2914,25.4,75.4,33.4,35.5,31.4,9.4,1.8,5.8,600,False
2915,29.9,63.3,3.8,16.0,24.2,7.9,1.42,8.9,710,False
2916,30.3,72.5,5.7,11.2,16.6,4.4,1.21,11.6,305,False
2917,22.7,68.4,3.2,7.7,15.6,7.1,1.05,10.2,409,False
2918,18.4,60.6,3.0,8.4,16.6,7.3,1.04,10.2,444,False
2919,23.6,68.7,8.3,13.7,19.7,4.1,0.95,11.2,255,False
2920,27.1,66.5,14.8,29.8,35.6,15.6,1.99,3.3,577,True
2921,38.5,79.8,70.6,88.1,36.1,9.8,1.86,4.6,565,True
2922,30.4,60.1,0.9,14.1,27.2,12.1,1.26,5.6,641,False
2923,27.3,45.8,3.8,7.8,19.3,7.1,0.99,11.7,312,False
2924,43.3,62.8,8.0,21.7,31.1,10.2,2.51,4.7,429,True
2925,28.9,49.4,12.9,18.5,18.5,4.7,0.89,10.1,461,False
2926,38.1,63.0,41.2,57.7,30.5,24.3,2.38,3.9,537,True
2927,36.5,81.6,6.1,19.4,29.0,20.5,1.92,4.2,690,True
2928,26.0,64.5,10.4,15.5,25.2,3.1,0.98,5.3,359,False
2929,38.2,82.1,8.4,26.5,24.6,7.4,2.6,5.2,696,True
2930,24.4,75.5,16.1,20.4,25.3,5.1,0.86,11.3,357,False
2931,29.2,45.9,1.9,10.9,29.4,5.5,1.1,6.1,647,False
2932,27.4,67.4,10.8,32.6,51.6,25.2,2.88,2.6,846,True
2933,25.0,72.6,1.5,6.9,19.0,5.7,0.94,14.8,407,False
2934,22.0,51.9,5.5,9.8,15.0,7.3,0.88,12.0,601,False
2935,46.8,91.0,0.2,17.0,55.2,19.5,2.36,2.5,587,True
2936,27.1,63.0,15.9,18.5,15.7,6.9,0.96,10.3,383,False
2937,30.8,55.6,15.0,22.3,22.0,15.9,1.64,6.1,451,False
2938,27.8,67.1,0.4,4.6,22.4,4.3,1.05,11.2,371,False
2939,30.7,64.6,7.9,23.1,30.7,19.0,1.39,16.6,399,False
2940,24.0,68.7,18.6,31.1,30.6,7.3,1.44,6.0,588,False
2941,25.3,75.6,2.8,5.9,23.8,6.4,1.12,10.1,299,False
2942,40.6,93.3,21.5,48.7,19.0,14.2,1.85,6.3,464,True
2943,34.4,65.1,48.4,58.5,29.6,7.8,1.27,7.1,435,False
2944,34.0,58.3,36.6,52.4,28.4,5.3,1.49,6.9,499,False
2945,28.5,49.4,1.0,5.9,16.6,5.6,0.93,10.6,328,False
2946,30.6,51.1,8.3,10.1,23.1,5.7,1.11,15.0,221,False
2947,30.0,89.0,9.2,30.2,29.7,17.5,1.83,8.2,428,True
2948,27.8,47.6,31.6,35.3,21.8,6.4,1.13,14.0,591,False
2949,21.0,44.0,2.6,8.8,25.2,5.7,0.95,17.2,488,False
2950,25.6,57.7,10.0,15.8,22.1,2.5,0.98,15.4,470,False
2951,23.8,67.9,15.3,19.2,25.0,5.1,0.97,10.0,366,False
2952,25.2,71.3,30.4,36.0,14.7,4.8,0.94,11.2,432,False
2953,35.2,71.8,12.2,25.7,28.0,7.1,1.27,7.8,327,False
2954,33.8,89.3,14.1,25.3,23.0,11.3,1.33,9.1,671,False
2955,25.5,47.4,9.5,8.9,25.2,5.9,1.24,10.6,404,False
2956,31.7,75.7,29.7,43.1,19.5,2.2,1.25,6.4,685,False
2957,38.7,116.9,33.1,53.6,46.0,26.2,2.46,8.2,834,True
2958,31.2,93.7,6.3,10.9,19.0,14.2,1.51,7.1,344,False
2959,27.3,74.8,10.3,10.9,14.2,6.3,1.04,18.7,577,False
2960,26.1,46.8,7.8,14.1,24.9,4.6,1.03,13.5,603,False
2961,47.8,70.2,35.4,55.1,35.3,22.9,2.07,3.3,607,True
2962,50.6,96.3,42.0,61.6,33.6,33.9,1.97,3.0,477,True
2963,31.9,77.1,7.3,16.9,25.4,11.3,1.56,6.3,471,False
2964,25.0,45.7,0.1,3.6,14.3,7.9,1.03,10.7,316,False
2965,39.3,74.8,28.1,49.3,33.0,21.3,1.84,3.8,730,True
2966,27.6,51.2,7.0,14.8,19.6,6.1,0.98,18.2,315,False
2967,22.5,43.6,11.8,16.3,13.2,5.4,0.99,10.5,307,False
2968,22.8,65.3,6.6,13.3,14.7,6.7,1.03,11.3,318,False
2969,38.8,60.7,0.3,16.0,35.3,24.9,2.0,7.2,596,True
2970,21.2,55.6,3.4,5.4,25.2,2.8,0.88,11.3,404,False
2971,27.2,82.5,18.7,37.1,32.5,14.5,1.96,4.5,544,True
2972,24.5,59.1,35.9,46.4,36.8,22.7,1.83,3.5,562,True
2973,30.2,48.6,6.9,15.8,19.7,9.4,1.57,5.2,598,False
2974,55.0,63.0,29.4,49.3,35.5,25.7,2.49,2.7,785,True
2975,24.9,76.2,49.0,54.7,13.8,10.5,1.3,7.4,664,False
2976,28.7,58.3,32.9,45.6,26.7,13.6,1.6,7.3,352,False
2977,26.3,80.1,3.2,9.7,20.2,6.0,1.03,12.5,269,False
2978,20.6,63.5,14.1,23.5,30.0,8.3,1.54,6.1,646,False
2979,33.1,66.1,21.1,41.6,27.9,17.7,2.23,3.4,733,True
2980,42.4,97.9,28.0,53.6,36.9,29.4,1.72,4.9,665,True
2981,34.0,83.1,10.5,25.8,22.6,5.7,1.28,5.4,522,False
2982,34.7,61.0,9.4,29.9,22.0,18.7,1.7,5.8,466,True
2983,28.7,53.9,18.3,20.4,25.7,7.5,0.98,11.2,406,False
2984,28.1,85.3,1.6,18.3,32.0,7.5,1.37,7.9,521,False
2985,27.9,76.5,4.0,10.1,11.6,4.2,1.12,11.2,267,False
2986,18.5,61.3,5.6,8.9,21.5,7.2,0.86,10.8,226,False
2987,19.2,51.9,6.3,10.6,20.9,7.7,1.1,10.1,500,False
2988,23.0,65.6,3.9,8.2,23.8,5.8,1.08,10.5,285,False
2989,40.1,93.5,51.1,54.6,27.7,13.8,2.16,8.4,400,True
2990,20.2,54.9,10.9,16.6,12.1,7.8,1.14,10.2,534,False
2991,24.7,43.2,5.3,11.2,13.7,1.4,1.01,10.1,552,False
2992,26.6,58.5,30.6,34.3,25.2,3.7,1.04,12.1,341,False
2993,36.8,87.2,41.4,57.0,35.9,20.6,1.7,3.6,749,True
2994,32.3,74.5,7.4,9.9,24.2,17.8,1.67,5.1,611,False
2995,27.6,51.7,16.9,24.5,19.4,6.1,0.81,10.1,306,False
2996,30.2,70.3,4.3,17.1,17.9,14.7,1.41,5.5,401,False
2997,40.0,63.2,14.9,24.0,27.4,7.0,1.51,6.4,569,False
2998,24.1,70.4,8.1,15.7,21.7,3.4,1.04,10.2,223,False
2999,39.0,92.4,1.7,3.6,31.7,4.8,1.19,7.0,428,False
3000,19.3,41.7,15.2,21.3,21.5,7.6,0.85,13.2,255,False
3001,26.6,44.6,16.5,21.6,17.1,6.6,0.98,13.7,555,False
3002,33.7,80.9,9.6,26.4,30.5,22.0,2.76,4.3,446,True
3003,18.6,49.8,14.0,18.6,23.3,4.4,0.77,10.0,262,False
3004,34.6,67.9,29.7,53.8,28.9,18.9,2.55,2.7,746,True
3005,21.8,60.7,0.0,4.6,22.3,3.9,1.04,12.2,333,False
3006,21.3,63.9,6.1,8.0,25.7,15.7,1.35,8.0,610,False
3007,28.7,45.3,42.8,47.4,11.7,2.9,1.04,19.3,577,False
3008,28.9,52.7,0.3,6.5,15.7,5.7,1.14,11.9,568,False
3009,57.8,108.4,3.1,11.2,51.5,19.4,2.08,3.0,537,True
3010,22.9,78.5,6.7,9.7,15.9,2.2,0.99,10.0,249,False
3011,27.4,54.4,6.2,10.0,24.7,4.2,0.92,12.0,339,False
3012,22.6,66.2,3.1,8.0,16.8,7.1,0.84,10.4,321,False
3013,27.0,58.1,8.5,12.2,25.8,5.5,0.99,17.8,324,False
3014,28.1,78.1,30.4,38.6,33.9,7.9,1.35,8.7,465,False
3015,34.3,99.6,14.3,24.7,32.2,13.6,1.89,6.8,487,True
3016,38.6,92.3,37.8,55.3,40.9,16.3,2.65,2.6,564,True
3017,30.3,92.7,2.2,15.3,21.0,6.8,1.8,6.6,511,False
3018,23.6,72.3,0.8,13.8,26.4,11.0,1.68,6.2,543,False
3019,26.1,48.0,17.3,22.3,18.6,2.0,1.02,11.2,313,False
3020,31.9,73.3,11.1,21.8,15.1,7.2,1.54,7.4,543,False
3021,32.2,62.2,23.6,32.0,32.8,10.1,1.54,9.0,685,False
3022,23.7,61.5,19.4,25.0,11.8,0.9,1.18,12.0,333,False
3023,30.2,53.6,47.4,60.0,23.3,13.5,1.61,5.2,529,False
3024,30.2,71.7,18.3,29.4,16.1,8.9,1.48,5.5,479,False
3025,29.8,72.4,13.4,19.9,13.0,3.9,1.06,10.5,568,False
3026,28.1,50.3,3.8,14.1,21.0,12.7,1.52,6.3,496,False
3027,38.1,65.7,16.6,34.5,23.9,5.8,1.97,5.5,607,True
3028,21.3,62.8,9.4,17.8,24.6,4.8,0.89,13.2,214,False
3029,39.1,101.5,57.8,71.2,28.0,22.0,2.11,4.4,521,True
3030,32.3,98.4,27.5,39.8,35.2,13.5,2.07,4.3,773,True
3031,19.7,73.1,30.4,34.6,13.6,4.2,0.87,10.0,545,False
3032,25.8,54.6,6.5,7.6,13.6,5.8,1.04,12.1,401,False
3033,31.8,97.6,39.5,51.6,25.5,9.9,1.81,6.0,652,True
3034,21.7,42.0,1.2,5.8,27.7,3.2,0.87,12.4,248,False
3035,25.2,74.1,32.0,38.9,21.1,6.9,1.02,10.7,540,False
3036,36.7,78.7,31.3,69.8,30.7,21.1,1.95,4.1,749,True
3037,35.1,92.9,16.9,37.8,40.1,16.8,1.86,6.5,777,True
3038,40.0,94.4,30.9,48.1,41.2,11.4,2.6,5.8,860,True
3039,38.5,92.3,1.9,12.7,33.6,13.8,2.99,4.9,848,True
3040,28.0,67.3,116.2,126.2,26.6,4.8,1.32,5.7,307,False
3041,35.1,92.3,81.2,114.2,35.1,14.7,2.5,2.7,589,True
3042,28.8,74.3,29.9,40.6,26.6,6.9,1.43,5.4,649,False
3043,22.9,78.0,15.2,18.3,16.9,2.3,1.17,14.1,263,False
3044,29.4,76.2,12.9,28.0,27.0,13.9,1.58,7.8,696,False
3045,29.6,68.4,22.3,31.8,26.2,6.2,1.55,5.9,582,False
3046,33.8,64.8,12.6,21.7,21.3,8.3,1.5,5.2,593,False
3047,37.7,63.6,24.2,32.1,24.3,13.2,1.59,5.6,600,False
3048,24.1,55.2,7.8,11.6,17.7,6.1,0.95,10.9,461,False
3049,26.4,72.7,2.4,6.2,20.3,9.0,0.94,10.1,431,False
3050,26.4,46.2,18.3,27.0,23.0,2.2,1.07,16.8,254,False
3051,43.7,76.2,56.6,64.2,23.2,12.3,1.4,5.6,390,False
3052,25.1,48.7,8.6,17.9,17.5,4.2,0.98,19.7,403,False
3053,44.3,81.8,58.8,67.8,39.8,11.3,2.51,9.0,795,True
3054,38.1,79.6,32.0,40.8,27.7,11.6,1.45,6.3,411,False
3055,31.7,52.4,11.2,22.0,32.4,13.3,1.52,7.3,460,False
3056,21.7,67.5,35.7,42.5,16.0,4.5,1.16,10.1,231,False
3057,43.3,62.4,23.3,47.6,39.7,10.8,2.98,2.8,586,True
3058,25.6,64.6,56.7,67.9,28.0,6.9,1.6,9.4,334,False
3059,23.6,54.1,15.8,19.2,21.2,6.4,0.86,13.1,377,False
3060,25.5,51.0,10.2,14.7,14.7,6.1,1.07,11.0,214,False
3061,25.2,58.1,7.9,13.3,23.3,5.6,0.93,10.4,526,False
3062,25.9,57.0,3.6,18.9,22.5,9.8,1.52,6.9,352,False
